100710,24.23,63.12
127082,24.25,62.88
216025,24.49,62.05
254960,24.50,61.93
281268,24.55,62.24
320253,24.65,62.79
384313,24.71,61.58
410704,24.48,59.55
537469,24.84,58.70
701971,26.06,62.64
703200,25.63,51.20
704445,24.88,51.79
705696,24.46,52.79
707000,24.23,53.33
708244,24.11,53.61
709488,24.03,53.92
710733,23.97,54.30
711977,23.95,54.64
713221,23.87,54.83
714465,23.81,55.01
715710,23.75,55.17
716954,23.72,55.14
718198,23.66,55.24
719443,23.58,55.33
720686,21.20,59.82
721931,20.51,61.97
748357,20.44,62.54
812448,20.36,63.33
838876,20.20,63.48
852692,20.18,63.54
866538,20.13,63.62
880391,19.97,63.51
894209,19.92,63.20
907980,19.89,62.78
934495,19.73,61.86
948287,18.58,60.06
962125,18.54,60.11
1038804,18.27,60.58
1065267,18.23,60.72
1104219,18.10,60.91
1118021,18.08,60.87
1194710,17.88,60.81
1359335,17.57,60.07
1410811,17.53,60.11
1424645,16.67,60.20
1488604,16.54,61.28
1539938,16.48,61.72
1553831,16.46,61.70
1567662,16.22,61.78
1581444,15.94,62.34
1595286,15.80,62.70
1621689,15.72,63.11
1635535,15.71,63.39
1649418,15.70,63.61
1663188,15.72,63.76
1702136,15.71,64.66
1741147,15.72,65.52
1830184,15.94,67.34
2095399,17.07,69.56
2121778,17.23,69.68
2160743,17.45,69.83
2199758,17.81,69.93
2327007,18.79,69.91
2479284,20.00,69.38
2593590,20.78,68.72
2632648,21.36,68.17
4383410,28.82,48.56
5725658,30.13,42.29
8424258,28.69,39.90
9917813,28.54,35.93
13200698,28.41,33.81
13346797,25.39,37.94
13374396,25.01,41.79
13454664,24.75,46.65
13521806,25.99,49.22
13536222,25.87,49.00
13550682,25.85,48.86
