1545,-21,55,-116,-0.08,0.42,-0.38
1767,-11,57,-108,-0.05,0.18,-0.44
1987,8,27,-134,0.04,0.08,-0.44
2208,24,19,-125,0.08,0.09,-0.43
2428,27,47,-69,0.09,0.17,-0.38
2649,17,37,-119,0.08,0.16,-0.41
2869,21,45,-108,0.10,0.18,-0.38
3090,25,54,-110,0.09,0.20,-0.38
3310,25,52,-108,0.10,0.18,-0.37
3531,27,61,-109,0.10,0.21,-0.37
3751,26,53,-109,0.10,0.21,-0.37
3972,26,55,-110,0.10,0.22,-0.38
4192,25,57,-111,0.10,0.23,-0.38
4413,23,58,-105,0.09,0.24,-0.39
4633,25,64,-108,0.11,0.21,-0.37
4854,27,63,-110,0.11,0.24,-0.37
5074,33,38,-115,0.12,0.16,-0.42
5295,34,63,-108,0.13,0.27,-0.39
5515,36,67,-117,0.13,0.28,-0.43
5736,1,159,-57,0.01,0.63,-0.13
5956,-37,99,20,-0.11,0.31,0.10
6177,-9,115,75,-0.01,0.43,0.31
6397,13,87,104,0.02,0.35,0.40
6618,-12,33,120,-0.05,0.12,0.43
6838,-27,-7,146,-0.12,0.02,0.54
7059,-32,7,137,-0.12,0.06,0.50
7280,-60,132,78,-0.22,0.49,0.21
7500,-64,122,34,-0.23,0.44,0.09
7721,-63,100,4,-0.21,0.41,-0.02
7941,3,110,-33,-0.02,0.39,-0.09
8162,-19,93,-83,-0.07,0.32,-0.29
8382,-12,62,-96,-0.04,0.24,-0.34
8602,-28,67,-116,-0.20,0.28,-0.34
8822,-5,71,-120,-0.02,0.18,-0.42
9043,9,76,-110,0.06,0.38,-0.19
9263,15,53,-105,0.05,0.18,-0.34
9484,13,36,-116,0.02,0.28,-0.24
9704,30,60,-110,0.11,0.27,-0.38
9925,43,97,-91,0.19,0.39,-0.36
10145,44,94,-94,0.19,0.37,-0.33
13796,0,123,-27,0.00,0.46,-0.09
14019,6,130,-18,0.03,0.52,-0.07
14240,9,120,-66,0.02,0.44,-0.23
14460,7,99,-101,0.01,0.39,-0.31
14681,0,83,-91,-0.03,0.23,-0.31
14901,33,126,-100,-0.01,0.24,-0.17
15122,44,118,-19,0.13,0.49,-0.13
15342,17,111,-63,0.03,0.38,-0.21
15563,27,112,-63,0.09,0.42,-0.21
15783,26,112,-51,0.09,0.42,-0.17
16004,40,123,-55,0.15,0.45,-0.19
16224,20,120,-49,0.08,0.45,-0.17
16445,21,122,-43,0.08,0.46,-0.19
16665,33,121,-41,0.15,0.48,-0.15
16886,28,120,-50,0.12,0.44,-0.16
17106,41,123,-42,0.16,0.47,-0.15
17327,25,115,-48,0.11,0.45,-0.13
17547,27,106,-39,0.10,0.40,-0.13
17768,30,110,-49,0.12,0.45,-0.16
17988,27,98,-58,0.10,0.38,-0.20
18209,46,119,-68,0.18,0.46,-0.23
18429,25,105,-49,0.09,0.39,-0.17
18650,8,85,-77,0.06,0.32,-0.25
18870,8,67,-106,0.05,0.26,-0.37
19091,3,71,-113,0.00,0.27,-0.38
19311,9,45,-77,0.05,0.11,-0.32
19532,24,81,-115,0.09,0.32,-0.39
19752,-3,165,-110,0.10,0.21,-0.35
19973,25,71,-101,0.09,0.24,-0.36
20193,22,49,-75,0.09,0.26,-0.35
20414,55,77,-84,0.21,0.29,-0.32
20634,53,61,-88,0.20,0.24,-0.32
20855,72,49,-73,0.26,0.30,-0.23
21075,41,78,-89,0.18,0.28,-0.30
21296,38,79,-103,0.22,0.41,-0.31
21516,50,93,-71,0.18,0.36,-0.25
21737,25,71,-79,0.09,0.27,-0.27
21957,39,82,-82,0.15,0.32,-0.31
22178,44,89,-85,0.16,0.32,-0.28
22398,28,75,-58,0.10,0.30,-0.24
25956,32,87,-98,0.12,0.31,-0.33
26179,20,86,-96,0.07,0.30,-0.33
26400,32,86,-79,0.13,0.32,-0.27
26620,48,91,-48,0.17,0.32,-0.10
26841,35,131,59,0.20,0.48,0.20
27061,18,62,96,0.11,0.17,0.32
27282,16,49,105,0.04,0.15,0.37
27502,-7,1,103,-0.09,-0.03,0.39
27723,-34,-12,130,-0.15,-0.06,0.43
27943,-27,44,141,-0.14,-0.04,0.38
28164,-44,-11,145,-0.16,-0.06,0.48
28384,-39,2,114,-0.14,-0.03,0.42
28605,-45,-15,98,-0.17,-0.09,0.37
28825,-44,-48,101,-0.13,-0.20,0.46
29046,-39,-25,119,-0.15,-0.10,0.41
29266,-37,-27,121,-0.14,-0.10,0.42
29487,-39,-30,119,-0.15,-0.11,0.42
29707,-40,-28,121,-0.15,-0.10,0.43
29928,-39,-26,116,-0.14,-0.09,0.41
30148,-38,-25,118,-0.14,-0.09,0.41
30369,-36,-27,117,-0.12,-0.10,0.41
30589,-39,-16,108,-0.14,-0.06,0.38
30810,-39,-31,128,-0.14,-0.11,0.45
31030,-37,-23,113,-0.13,-0.09,0.41
31251,-33,-17,118,-0.12,-0.06,0.42
31471,-33,2,126,-0.13,0.00,0.44
31692,-28,14,135,-0.09,0.05,0.45
31912,-37,19,120,-0.15,0.06,0.40
32133,-44,48,93,-0.17,0.18,0.32
32353,-42,44,107,-0.16,0.16,0.37
32574,-38,87,80,-0.12,0.36,0.31
32794,-13,118,50,-0.05,0.45,0.18
33015,-16,123,40,-0.06,0.47,0.14
33235,-14,129,12,-0.05,0.48,0.06
33456,-12,136,2,-0.04,0.52,0.00
33676,-19,128,8,-0.07,0.48,0.03
33897,-26,124,4,-0.14,0.43,0.01
34117,-33,124,-31,-0.13,0.47,-0.09
34338,-30,101,-78,-0.11,0.38,-0.29
34558,-18,67,-111,-0.06,0.25,-0.40
38176,-24,125,3,-0.09,0.47,0.02
38400,-21,123,-38,-0.07,0.47,-0.15
38621,-21,108,-54,-0.08,0.42,-0.19
38841,-19,100,-72,-0.07,0.38,-0.25
39062,31,121,-52,0.12,0.38,-0.22
39282,15,120,-105,-0.07,0.68,-0.75
39503,-5,63,-114,-0.04,0.21,-0.42
39723,-22,61,-114,-0.11,0.21,-0.38
39944,-32,63,-94,-0.11,0.22,-0.35
40164,-25,45,-117,-0.13,0.20,-0.36
40385,-28,52,-98,-0.08,0.19,-0.34
40605,-42,58,-92,-0.15,0.23,-0.31
40826,-30,53,-82,-0.08,0.24,-0.27
41046,-15,-17,-116,-0.09,0.01,-0.53
41267,2,-44,-142,-0.00,-0.14,-0.43
41487,25,-60,-118,0.09,-0.23,-0.43
41708,5,-55,-115,0.05,-0.23,-0.39
41928,7,-42,-112,0.04,-0.15,-0.40
42149,11,-45,-110,0.03,-0.16,-0.38
42369,21,-54,-116,0.08,-0.20,-0.41
42590,23,-53,-117,0.09,-0.20,-0.41
42810,17,-43,-115,0.08,-0.16,-0.41
43031,9,-39,-123,0.03,-0.15,-0.37
43251,13,-34,-107,0.07,-0.14,-0.38
43472,5,-47,-97,0.08,-0.02,-0.42
43692,36,-33,-108,0.17,-0.11,-0.39
43913,41,-36,-115,0.16,-0.14,-0.41
44133,38,-35,-110,0.14,-0.11,-0.38
44354,40,-32,-111,0.15,-0.13,-0.39
44574,53,-46,-118,0.16,-0.13,-0.37
44795,42,-26,-109,0.16,-0.09,-0.38
45015,45,-32,-110,0.17,-0.12,-0.38
45236,40,-33,-109,0.17,-0.12,-0.39
45456,42,-27,-114,0.17,-0.09,-0.39
45677,40,-30,-110,0.16,-0.12,-0.38
45897,41,-22,-111,0.15,-0.08,-0.38
46118,50,-38,-119,0.19,-0.12,-0.38
46338,60,-41,-104,0.23,-0.15,-0.36
46559,57,-35,-102,0.23,-0.15,-0.36
46779,59,-41,-104,0.23,-0.18,-0.36
50638,-15,127,-32,-0.07,0.47,-0.13
50862,-34,136,-24,-0.11,0.53,-0.12
51083,-9,134,-16,-0.05,0.53,-0.07
